hour,is_peak,elec,solar
9,0,9.13085,0.018781302
10,0,9.41065,0.101419032
11,0,9.42745,0.214002504
12,0,9.5333,0.353192821
13,0,9.42,0.37917362250000003
14,0,9.56795,0.418927379
15,1,8.9149,0.32710767949999997
16,1,7.1425,0.201481636
17,1,6.73255,0.208889817
18,1,6.12195,0.065838898
19,1,5.73355,0
20,0,5.37945,0
21,0,4.36585,0
22,0,2.95615,0
23,0,1.68165,0
0,0,1.5737,0
1,0,1.4899,0
2,0,1.35325,0
3,0,1.63205,0
4,0,1.8395,0
5,0,2.8805,0
6,0,5.43375,0
7,0,6.36385,0
8,0,7.7621,0
9,0,9.3228,0.00918197
10,0,9.3683,0.084933222
11,0,9.28255,0.233096828
12,0,9.8441,0.36404424050000006
13,0,9.5041,0.427170284
14,0,9.66285,0.42873539250000003
15,1,9.014,0.38845993324999994
16,1,6.9898,0.306448247
17,1,6.98835,0.18071786299999998
18,1,6.36415,0.044240401
19,1,5.53525,0
20,0,5.18855,0
21,0,4.685,0
22,0,3.0879,0
23,0,1.74465,0
0,0,1.596,0
1,0,1.29905,0
2,0,1.5987,0
3,0,1.42365,0
4,0,2.00535,0
5,0,3.02045,0
6,0,5.01725,0
7,0,6.44705,0
8,0,8.0373,0
9,0,8.82765,0.010747078
10,0,8.67085,0.085454925
11,0,8.92735,0.231949082
12,0,9.18825,0.35694908174999995
13,0,8.9543,0.409641069
14,0,9.23935,0.41151919875000004
15,1,8.79705,0.384808013
16,1,6.7527,0.301648581
17,1,7.6224,0.17779632699999998
18,1,6.477,0.045805509
19,1,5.94385,0
20,0,5.61875,0
21,0,4.74985,0
22,0,3.2228,0
23,0,2.2715,0
0,0,1.3765,0
1,0,1.3415,0
2,0,1.43635,0
3,0,1.69665,0
4,0,2.45525,0
5,0,3.16675,0
6,0,5.1117,0
7,0,6.24955,0
8,0,8.54975,0
9,0,8.75675,0.023998330499999998
10,0,9.55685,0.05321369
11,0,9.6593,0.18384808
12,0,9.07395,0.328151085
13,0,9.8645,0.431135226
14,0,9.5593,0.352253756
15,1,8.93085,0.223080134
16,1,6.78375,0.161414858
17,1,6.8712,0.065838898
18,1,6.3364,0.016381469
19,1,5.71585,0
20,0,5.36535,0
21,0,4.356,0
22,0,2.7278,0.000313022
23,0,1.67915,0
0,0,1.79165,0
1,0,1.50075,0
2,0,1.3586,0
3,0,1.4418,0
4,0,1.91215,0
5,0,3.1874,0
6,0,5.2972,0
7,0,6.5193,0
8,0,8.22785,0
9,0,9.0733,0.015755426000000003
10,0,9.7384,0.051961603
11,0,9.27745,0.043405676250000004
12,0,9.5909,0.145450751
13,0,9.7095,0.140651085
14,0,9.43745,0.09734975
15,1,9.48125,0.051231218499999995
16,1,6.6938,0.12134808
17,1,7.25155,0.046118531
18,1,6.3664,0.031928214
19,1,5.99995,0
20,0,5.245,0
21,0,4.75015,0
22,0,2.75425,0
23,0,1.9212,0
0,0,1.85005,0
1,0,1.2633,0
2,0,1.38015,0
3,0,1.12585,0
4,0,1.4358,0
5,0,1.5047,0
6,0,2.3109,0
7,0,3.378,0
8,0,5.2092,0
9,0,8.1816,0.011164441
10,0,8.62255,0.090567613
11,0,9.24595,0.23716611
12,0,8.98,0.359766277
13,0,9.31945,0.415275459
14,0,9.636,0.41381469125000003
15,1,9.2214,0.38512103499999994
