net_load,renewables,renewables_to_load_ratio,load.load
9678.916667,12053.16667,0.646853146,18643.58333
8014.083333,12922.16667,0.722665556,17883.25
7978.333333,12871.41667,0.707565026,18191.75
8828,12628.75,0.671000173,18825.58333
11056.33333,11718.75,0.586703694,19980.58333
15184.75,9735.083333,0.454638811,21468.75
20323,6707.25,0.29361325,22904.08333
23552.58333,6347.75,0.252120589,25179.41667
23947.16667,6485.166667,0.254071836,25525.33333
23621.58333,6605.25,0.26203395,25207.91667
22745.83333,6503.916667,0.265869609,24468.08333
21704.08333,6429.333333,0.272027324,23630.08333
20298.75,6361.583333,0.285443598,22300.33333
18516.16667,6731.5,0.321819797,20928.83333
17430.16667,6308.5,0.311939316,20224.33333
16647.58333,6122.333333,0.312818226,19572.75
16520.5,5855,0.303950344,19262.66667
16368.91667,5915.5,0.308133438,19197.66667
16674.58333,6042.416667,0.30793414,19623.66667
17982,6126.75,0.293209227,20906
20021.41667,6288.75,0.27395998,22971.08333
21904.83333,6496,0.259785965,25004.75
21784.41667,7429.916667,0.290333518,25589.66667
21400.66667,8395.666667,0.323983253,25908.16667
20570.91667,9192.75,0.356448413,25794.83333
19219.5,10175.25,0.39950057,25473.83333
18867.25,10145.25,0.403760887,25124.08333
19260.08333,9396.75,0.378249468,24844.91667
20745.08333,8236.833333,0.327071396,25190.91667
21998.16667,7567.416667,0.296335843,25543.25
23545.16667,6769.333333,0.25926687,26114.91667
25067.16667,6951.416667,0.252538444,27524.58333
24804.58333,7183.166667,0.25978921,27649.75
24038.25,7488.083333,0.276673136,27068.41667
23267.66667,7412.416667,0.281402071,26339.75
22063.66667,7549.25,0.298638413,25295.16667
20297.16667,7761.583333,0.326076387,23813.16667
18672.33333,7457.25,0.336416263,22163.5
17723.58333,6882.916667,0.326352854,21090.08333
16879.33333,6878.833333,0.338609334,20317.91667
15699.5,7281.666667,0.371885914,19584.41667
15194.08333,7825.916667,0.398303806,19645.25
15544.08333,7910.416667,0.394009109,20079.25
16822.66667,7818.333333,0.369095029,21197.08333
19103.91667,8036.833333,0.346005915,23257.91667
20102.58333,9021.75,0.3607262,24990.5
17467.83333,12250.08333,0.48065472,25476.83333
15154.25,14550.75,0.569497477,25557.75
13999.83333,15353.25,0.604926425,25379.75
13398.5,15566.58333,0.620481434,25090.33333
12684,16234.58333,0.64819633,25046
13029.16667,15451.25,0.623409234,24784.83333
13876.75,14824.33333,0.599036784,24749.91667
16518.75,12523.58333,0.502774705,24928
21207.25,8855.916667,0.342545384,25894.33333
23870.16667,8356.416667,0.300354347,27830.91667
24298.41667,8248.25,0.294178503,28038.58333
23869.91667,7779.5,0.283284586,27461.16667
